channel_name,channel_id,category,batch
activistenmemes,1789081688,verschwoerungsideologie,1
adrenocrime,1157694700,verschwoerungsideologie,1
aktivistmann,1208522935,verschwoerungsideologie,1
alexander_ehrlich,1192527519,verschwoerungsideologie,1
alles_kommt_ans_licht,2241774551,verschwoerungsideologie,1
anonymousmediaberlin,1369115504,verschwoerungsideologie,1
antarktis_geheimnis,1148445327,verschwoerungsideologie,1
antiilluminaten,1470069005,verschwoerungsideologie,1
apolut,1263902075,verschwoerungsideologie,1
archenoack,1460895430,verschwoerungsideologie,1
artikel2punkt4,1288348338,verschwoerungsideologie,1
astrodoqu,1738231225,verschwoerungsideologie,1
atlasinitiative,1331894997,verschwoerungsideologie,1
auf1info,1757163061,verschwoerungsideologie,1
auf1tv,1495573891,verschwoerungsideologie,1
aufmessersschneide,1401096144,verschwoerungsideologie,1
autarkes_leben,2481556560,verschwoerungsideologie,1
ayawasgeht,1339882091,verschwoerungsideologie,1
babylondecodeddeutsch,1245388711,verschwoerungsideologie,1
berlinstehtauf,1220341915,verschwoerungsideologie,1
berlinstehtauf_chat,1362735302,verschwoerungsideologie,1
bernie006,1348217349,verschwoerungsideologie,1
bewegungleipzigqd341,1477670205,verschwoerungsideologie,1
bitteltv,1191903230,verschwoerungsideologie,1
blaupausetv,1622405022,verschwoerungsideologie,1
bleibtstark,1279348750,verschwoerungsideologie,1
caimireport,1348941013,verschwoerungsideologie,1
checkmatenews,1247534353,verschwoerungsideologie,1
chnopflochkanal,1373954763,verschwoerungsideologie,1
christophhoerstel,1278968930,verschwoerungsideologie,1
coachcecil,1305295187,verschwoerungsideologie,1
connectivevents,1412353445,verschwoerungsideologie,1
corona_ist_nicht_das_problem,1339253689,verschwoerungsideologie,1
craziiworld,1208938166,verschwoerungsideologie,1
danieleganser,1168933812,verschwoerungsideologie,1
danieleganser_mv,1262066748,verschwoerungsideologie,1
danielprinzoffiziell,1153034672,verschwoerungsideologie,1
das_telegram_archiv,1298955667,verschwoerungsideologie,1
dasgrosseerwachen2020,1634714395,verschwoerungsideologie,1
dasschwereerbe,1360522586,verschwoerungsideologie,1
davidclaudiosiber,1253673367,verschwoerungsideologie,1
dbullcutter,1181297253,verschwoerungsideologie,1
dc_mediathek,1728761971,verschwoerungsideologie,1
der17sinn,1676840779,verschwoerungsideologie,1
der_hasskanal,1726943813,verschwoerungsideologie,1
derbesseregreatreset,1641757148,verschwoerungsideologie,1
derbondaffe,1391427650,verschwoerungsideologie,1
derdeutschamerikaner,1194776934,verschwoerungsideologie,1
derwahrsagerwissenbewegt,1251224061,verschwoerungsideologie,1
die_erde_ist_flach,1518866249,verschwoerungsideologie,1
diebasisnrwfunkt,1397651632,verschwoerungsideologie,1
diebasisst,1366069830,verschwoerungsideologie,1
dienedemleben,1285446620,verschwoerungsideologie,1
digitalchronist,1478377727,verschwoerungsideologie,1
